SalePrice,SqFtTotLiving,Latitude,Longitude,SqFt2ndFloor,YrBuilt,SqFtFinBasement,SqFtDeck,SqFtGarageBasement,BrickStone,SqFtOpenPorch
630000,1130,47.6965966,-122.3213212,0,1953,0,0,0,0,0
774950,1730,47.59631,-122.2975318,680,2017,370,120,240,0,0
1450000,2620,47.6438032,-122.4099849,1200,1940,350,0,0,40,0
695000,1200,47.6907913,-122.3802804,360,2017,370,400,0,0,0
1169000,1940,47.6095968,-122.3111474,750,2019,440,500,260,0,0
499999,840,47.5569135,-122.3631752,420,2018,0,360,250,0,0
1281370,5270,47.733662,-122.35673,2240,1928,0,0,0,0,0
410000,1910,47.4801601,-122.2238105,0,1967,600,0,0,0,0
330000,920,47.5046223,-122.3307506,0,1948,0,0,0,0,0
640000,1640,47.5924424,-122.3023205,570,2015,460,70,0,0,90
634902,1190,47.6211545,-122.298037,370,2017,410,260,0,0,0
480000,870,47.6082759,-122.3057699,0,1903,0,0,0,0,80
257000,1090,47.4956128,-122.3142049,0,1958,0,200,0,0,40
1600000,2320,47.6029724,-122.2141312,1210,1976,0,340,0,0,0
365000,1480,47.4837362,-122.3428027,0,1954,0,0,0,0,0
364950,1430,47.4509133,-122.1802762,0,1958,0,220,0,0,0
889602,3020,47.5336218,-122.1704554,1690,2017,0,0,0,0,200
750000,1430,47.690348,-122.3804422,500,2017,450,290,0,0,0
442600,950,47.5836829,-122.3886695,0,1926,0,0,0,0,50
395000,880,47.5410203,-122.3928836,0,1921,0,340,0,0,100
970000,2840,47.6423215,-122.3702963,860,1913,860,0,0,0,150
575000,1410,47.5653923,-122.3640719,430,2017,0,250,0,0,0
599000,1350,47.5416233,-122.3877522,340,2017,490,470,0,0,0
875000,3180,47.7223625,-122.3687341,0,1957,1370,0,440,100,0
640000,1540,47.6720821,-122.3948756,0,1910,0,0,0,0,50
558000,2760,47.722093,-122.357848,0,1950,1010,0,260,0,0
725000,1370,47.5858884,-122.3887305,0,1929,0,0,200,0,0
760000,2280,47.5587226,-122.3638735,1360,2016,0,85,0,0,0
399950,1540,47.467184,-122.2953129,0,1963,500,80,470,0,0
635000,1260,47.5948868,-122.2957497,550,2016,160,400,220,0,0
650000,1120,47.6792416,-122.1160942,0,1980,0,0,0,0,100
503000,1830,47.4715057,-122.0968392,0,1974,350,360,290,0,0
378500,1420,47.293311,-122.3711377,0,1976,600,310,120,0,0
484950,2334,47.351787,-122.1381359,1350,2018,0,0,0,0,198
140000,1780,47.2668563,-122.265944,0,1913,0,0,0,0,80
440000,780,47.7331586,-122.3520337,0,1950,0,0,0,0,0
250000,2890,47.5017434,-122.4648062,0,1975,580,450,616,0,0
745000,1210,47.681661,-122.2757654,0,1944,0,160,220,0,40
684950,2525,47.4361968,-122.1573894,1515,2019,0,0,0,0,167
350000,1420,47.3357357,-122.307097,0,1967,0,0,0,0,250
395000,2360,47.3044073,-122.3812774,0,1978,1010,400,290,0,0
870000,2040,47.5557908,-122.1774622,0,1959,700,0,0,0,0
684950,2525,47.4361968,-122.1573894,1515,2019,0,0,0,0,167
